relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,confidence_weighted,cosine,2500,0.06698218058716697,0.0008046274095612821,0.021567459384820714,0.2810520381807237,0.11174848199581211,0.061024206738132365,0.004486612516211838
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,confidence_weighted,cosine,2500,0.08062092473147872,5.446281414961269e-05,0.029336000144934635,0.1425442416676186,0.1333198745169145,0.04562370991582997,0.00649973350455875
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,confidence_weighted,cosine,2500,0.0550758730391437,0.005878059546011434,0.021699926186361237,0.27810710248989406,0.2261531254002354,-0.016461318881607803,0.003033351791023873
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,confidence_weighted,cosine,7500,0.05871317902028596,3.613779921602512e-07,0.018364661990623005,0.11176823706805454,0.11158977277051406,0.05229389062410771,0.003447237390668153
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,confidence_weighted,euclidean,2500,0.05746885707688586,0.0040481970810546854,0.007153297555823983,0.7207245788035428,0.09719771788396316,0.06764361515926445,0.0033026695337235335
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,confidence_weighted,euclidean,2500,0.07122448528991873,0.0003652876670275552,0.012035227964756652,0.5475188435598464,0.12237037573521009,0.05046686874541941,0.005072927304813842
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,confidence_weighted,euclidean,2500,-0.013311924015121912,0.5058632333917914,-0.017073264978262094,0.3934937862667539,-0.07299558554699541,0.13150313174478342,0.00017720732098437943
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,confidence_weighted,euclidean,7500,0.04153346782630922,0.00032085030874017044,-0.0038643313356758087,0.7379220325747875,0.0819043953858459,0.06615310207642505,0.0017250289496790626
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,correct_only,cosine,2239,0.08250204980551623,9.293936196379734e-05,0.027124104058577583,0.1994992081974103,0.13578436160164598,0.054910585013126414,0.006806588222111892
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,correct_only,cosine,2418,0.09645527372166703,2.017725692444455e-06,0.04632457910720221,0.022728296488588606,0.15828549388676427,0.03562756506954731,0.00930361982872171
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,correct_only,cosine,1920,0.054704114898096026,0.016518725382863697,0.019072666561685183,0.40357465823215755,0.2034493986208219,-0.015971481645431898,0.00299254018678409
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,correct_only,cosine,6577,0.06746261887474414,4.3423637344204146e-08,0.022192577767621298,0.07191294147258896,0.12279930232800598,0.04677797196489161,0.004551204945438983
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,correct_only,euclidean,2239,0.07760438823661134,0.00023730646567834244,0.0248337100408703,0.24015148731614927,0.1295552853095964,0.057784595170043175,0.006022441073578698
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,correct_only,euclidean,2418,0.08683527685996933,1.9042156630391205e-05,0.02708105112853784,0.18311777977257487,0.1481995046389281,0.04006029643248386,0.007540365307347526
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,correct_only,euclidean,1920,-0.024248366142318175,0.2882473238199451,-0.01800079444392175,0.4305180346234302,-0.12021009962530511,0.1438929125612125,0.0005879832605719217
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,correct_only,euclidean,6577,0.05094563285277014,3.5724340980743206e-05,0.002725121465078718,0.8251218453001631,0.09612031907697675,0.05915601681113505,0.0025954575067692514
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,label_based,cosine,2500,0.07150137556241422,0.00034641794209966533,0.022071295142364836,0.2699632381242312,0.11902892708914364,0.05773385164175577,0.005112446707317405
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,label_based,cosine,2500,0.08396546801514158,2.62704899431743e-05,0.03645667306875814,0.06837493079765469,0.1386080992588864,0.04314273005324833,0.007050199819001762
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,label_based,cosine,2500,0.06956540133670286,0.0005000161237202457,0.033928059403146096,0.08987776767557637,0.28594522373163883,-0.04587748671910952,0.004839345063136538
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,label_based,cosine,7500,0.06387282080090653,3.089635234589778e-08,0.02502062671179731,0.030247982480864015,0.12121072836177915,0.04777527873171548,0.00407973723706472
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,deepconvnet,label_based,euclidean,2500,0.06526292047520971,0.00109465959802917,0.020036149808917943,0.31663008628593664,0.11001445665339447,0.06178945805087634,0.004259248788953547
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,eegnet,label_based,euclidean,2500,0.07419486710700252,0.00020481173137426923,0.017349948268889442,0.38587142647118977,0.1270323104404846,0.04832329878737288,0.0055048783050257516
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,fbcnet,label_based,euclidean,2500,-0.0073862001769606864,0.7120305707257304,-0.0018621875911893587,0.9258535950950442,-0.041119887061584696,0.11563346034372576,5.4555953054133526e-05
target_negative_margin_rate_vs_acc_drop,target_negative_margin_rate,acc_drop,ALL,label_based,euclidean,7500,0.046494453917963856,5.624258736607692e-05,0.007030130062922814,0.542701320255438,0.09145678735218865,0.06165797585360102,0.0021617342451296672
target_margin_mean_vs_acc_drop,target_margin_mean,acc_drop,deepconvnet,confidence_weighted,cosine,2500,0.04586361868319082,0.021834145255351448,0.08509753329509367,2.0398969722989903e-05,0.06012184996163234,0.110407822401296,0.00210347151871713
target_margin_mean_vs_acc_drop,target_margin_mean,acc_drop,eegnet,confidence_weighted,cosine,2500,-0.007420932231441585,0.7107372271216716,0.016936560967523932,0.3972932540131626,-0.0103399624282039,0.10774903575554051,5.5070235183648706e-05
target_margin_mean_vs_acc_drop,target_margin_mean,acc_drop,fbcnet,confidence_weighted,cosine,2500,0.14548377700072956,2.681962619616867e-13,0.06961736928764098,0.0004951724975377847,5.568291751651366,0.0915385152308502,0.021165529370398
