relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,correct_only,euclidean,1395,-0.14528056609660805,5.0295977111441423e-08,-0.14107322159910682,1.217831685187856e-07,-0.001516649423221342,0.10485222924362413,0.021106442885350903
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,correct_only,euclidean,4255,-0.009381659791678163,0.5406682937346281,-0.01345673813408525,0.38017727110293087,-1.1157054606567398e-05,0.1132811041441218,8.801554044679102e-05
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,label_based,cosine,1440,0.533431457791578,1.091549788682307e-106,0.5029072092142489,3.744351448798918e-93,0.4189434311957103,0.07908113113149641,0.2845491201616479
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,label_based,cosine,1440,0.5561599570579046,1.0470086952027624e-117,0.5901684649376159,7.117456834546783e-136,0.29400105652098396,0.017235380143907103,0.30931389783465024
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,label_based,cosine,1440,0.2664043937609641,8.063548537357582e-25,0.32816282995412455,1.6786811060766157e-37,0.2329945001818522,0.09006931450903015,0.0709713010151468
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,label_based,cosine,4320,0.41948038816161143,9.75300789869006e-184,0.39316547098630206,1.0957910069876667e-159,0.25170051362670115,0.0712658136536827,0.17596379605221624
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,label_based,euclidean,1440,0.06898801723508512,0.008825047718779606,0.5509003155057307,4.420513526995143e-115,0.00012008022742947199,0.12124998862992184,0.004759346522028409
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,label_based,euclidean,1440,0.013318595139362737,0.6135668062572939,0.2752361697542177,1.9082000668918576e-26,2.024925706542941e-05,0.10643950759323118,0.00017738497648625673
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,label_based,euclidean,1440,0.40331839536859615,1.90582808351088e-57,0.3439417742878312,2.960748822269346e-41,0.03179858977624571,0.06245214997215139,0.1626657280426992
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,label_based,euclidean,4320,0.03646822916623412,0.016528107619161056,0.38945340962942254,1.8211295323780717e-156,6.818015251494122e-05,0.11464080963299174,0.0013299317385209691
