model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,cross_session,sub-025,,ses-01,ses-05,3,,70,18,100,1,0.490000,0.490000,0.360502,0.600400,0.693101,0.500175,0.094529
deepconvnet,cross_session,sub-025,,ses-02,ses-01,3,,73,19,88,1,0.488636,0.496382,0.426336,0.496124,0.707444,0.513983,0.080765
deepconvnet,cross_session,sub-025,,ses-02,ses-03,3,,73,19,94,1,0.425532,0.425272,0.425272,0.491848,0.713042,0.516999,0.169767
deepconvnet,cross_session,sub-025,,ses-02,ses-04,3,,73,19,88,1,0.534091,0.528424,0.499931,0.565891,0.688152,0.495270,0.093436
deepconvnet,cross_session,sub-025,,ses-02,ses-05,3,,73,19,100,1,0.500000,0.500000,0.333333,0.398000,0.715481,0.521925,0.110322
deepconvnet,cross_session,sub-025,,ses-03,ses-01,3,,75,19,88,3,0.511364,0.503618,0.442135,0.494574,0.709379,0.515730,0.097374
deepconvnet,cross_session,sub-025,,ses-03,ses-02,3,,75,19,92,3,0.532609,0.528842,0.516086,0.562175,0.704656,0.507166,0.076480
deepconvnet,cross_session,sub-025,,ses-03,ses-04,3,,75,19,88,3,0.397727,0.403876,0.353569,0.350388,0.796545,0.590339,0.229060
deepconvnet,cross_session,sub-025,,ses-03,ses-05,3,,75,19,100,3,0.580000,0.580000,0.544271,0.590800,0.689852,0.496536,0.049018
deepconvnet,cross_session,sub-025,,ses-04,ses-01,3,,70,18,88,3,0.443182,0.443669,0.443110,0.423256,0.794477,0.589630,0.192558
deepconvnet,cross_session,sub-025,,ses-04,ses-02,3,,70,18,92,3,0.532609,0.534515,0.529887,0.556028,0.719375,0.521704,0.101893
deepconvnet,cross_session,sub-025,,ses-04,ses-03,3,,70,18,94,3,0.542553,0.540308,0.536202,0.551630,0.733447,0.530266,0.128483
deepconvnet,cross_session,sub-025,,ses-04,ses-05,3,,70,18,100,3,0.450000,0.450000,0.445509,0.476000,0.722754,0.528206,0.129344
deepconvnet,cross_session,sub-025,,ses-05,ses-01,3,,80,20,88,1,0.534091,0.541860,0.477329,0.586047,0.728755,0.531262,0.131623
deepconvnet,cross_session,sub-025,,ses-05,ses-02,3,,80,20,92,1,0.500000,0.510638,0.351716,0.553664,0.915203,0.655067,0.270343
deepconvnet,cross_session,sub-025,,ses-05,ses-03,3,,80,20,94,1,0.489362,0.500000,0.328571,0.533062,1.032974,0.724808,0.336671
deepconvnet,cross_session,sub-025,,ses-05,ses-04,3,,80,20,88,1,0.522727,0.512145,0.381940,0.525581,0.999640,0.644877,0.246626
deepconvnet,cross_session,sub-001,,ses-01,ses-02,4,,80,20,100,2,0.450000,0.450000,0.429401,0.473600,0.968511,0.640707,0.251434
deepconvnet,cross_session,sub-001,,ses-01,ses-03,4,,80,20,99,2,0.535354,0.538571,0.484842,0.475102,1.429664,0.711908,0.265472
deepconvnet,cross_session,sub-001,,ses-01,ses-04,4,,80,20,99,2,0.434343,0.432041,0.402071,0.424490,1.365229,0.779473,0.347798
deepconvnet,cross_session,sub-001,,ses-01,ses-05,4,,80,20,94,2,0.521277,0.515399,0.478229,0.519928,1.182417,0.661874,0.269866
deepconvnet,cross_session,sub-001,,ses-02,ses-01,4,,80,20,100,1,0.490000,0.490000,0.328859,0.542000,0.710427,0.516675,0.098648
deepconvnet,cross_session,sub-001,,ses-02,ses-03,4,,80,20,99,1,0.484848,0.488571,0.406349,0.553878,0.731541,0.533115,0.147647
deepconvnet,cross_session,sub-001,,ses-02,ses-04,4,,80,20,99,1,0.494949,0.490204,0.347998,0.448571,0.761997,0.562315,0.149818
deepconvnet,cross_session,sub-001,,ses-02,ses-05,4,,80,20,94,1,0.531915,0.523551,0.440476,0.541214,0.753043,0.550576,0.152640
deepconvnet,cross_session,sub-001,,ses-03,ses-01,4,,79,20,100,1,0.460000,0.460000,0.389417,0.517600,0.697347,0.504151,0.058350
deepconvnet,cross_session,sub-001,,ses-03,ses-02,4,,79,20,100,1,0.540000,0.540000,0.516604,0.576000,0.680233,0.487275,0.093913
deepconvnet,cross_session,sub-001,,ses-03,ses-04,4,,79,20,99,1,0.494949,0.497959,0.447545,0.470612,0.715686,0.520585,0.073188
deepconvnet,cross_session,sub-001,,ses-03,ses-05,4,,79,20,94,1,0.436170,0.441576,0.400265,0.447917,0.769499,0.550109,0.139914
deepconvnet,cross_session,sub-001,,ses-04,ses-01,4,,79,20,100,2,0.500000,0.500000,0.333333,0.600800,0.751599,0.554718,0.176975
deepconvnet,cross_session,sub-001,,ses-04,ses-02,4,,79,20,100,2,0.480000,0.480000,0.368626,0.440800,0.748470,0.552507,0.152204
deepconvnet,cross_session,sub-001,,ses-04,ses-03,4,,79,20,99,2,0.494949,0.491837,0.440045,0.505306,0.756172,0.549048,0.142520
deepconvnet,cross_session,sub-001,,ses-04,ses-05,4,,79,20,94,2,0.553191,0.552989,0.552989,0.553895,0.821687,0.530169,0.167002
deepconvnet,cross_session,sub-001,,ses-05,ses-01,4,,75,19,100,1,0.500000,0.500000,0.365804,0.510000,0.693758,0.500612,0.031806
deepconvnet,cross_session,sub-001,,ses-05,ses-02,4,,75,19,100,1,0.520000,0.520000,0.512987,0.458800,0.700674,0.507517,0.106421
deepconvnet,cross_session,sub-001,,ses-05,ses-03,4,,75,19,99,1,0.545455,0.546531,0.540769,0.510612,0.703109,0.508164,0.116699
deepconvnet,cross_session,sub-001,,ses-05,ses-04,4,,75,19,99,1,0.494949,0.494082,0.490741,0.513061,0.711416,0.515896,0.051569
deepconvnet,cross_session,sub-002,,ses-01,ses-02,4,,73,19,95,3,0.505263,0.500222,0.353741,0.521277,1.141078,0.530450,0.057358
deepconvnet,cross_session,sub-002,,ses-01,ses-03,4,,73,19,100,3,0.530000,0.500000,0.346405,0.494179,0.691892,0.498745,0.005966
deepconvnet,cross_session,sub-002,,ses-01,ses-04,4,,73,19,100,3,0.500000,0.500000,0.333333,0.517200,0.695670,0.502517,0.059041
deepconvnet,cross_session,sub-002,,ses-01,ses-05,4,,73,19,95,3,0.526316,0.512201,0.396953,0.645075,0.687548,0.494428,0.114796
deepconvnet,cross_session,sub-002,,ses-02,ses-01,4,,76,19,92,2,0.467391,0.467391,0.318519,0.422023,0.743865,0.517579,0.044158
deepconvnet,cross_session,sub-002,,ses-02,ses-03,4,,76,19,100,2,0.540000,0.510638,0.369518,0.463669,0.692711,0.499564,0.034536
deepconvnet,cross_session,sub-002,,ses-02,ses-04,4,,76,19,100,2,0.500000,0.500000,0.333333,0.323200,0.693911,0.500764,0.006105
deepconvnet,cross_session,sub-002,,ses-02,ses-05,4,,76,19,95,2,0.505263,0.491127,0.370151,0.603372,0.692162,0.499015,0.000036
deepconvnet,cross_session,sub-002,,ses-03,ses-01,4,,80,20,92,1,0.467391,0.467391,0.466824,0.473062,1.146979,0.598539,0.178513
