model,subject,session,mean_acc,std_acc,mean_bacc,mean_f1,mean_auc
deepconvnet,sub-034,ses-01,0.6900000000000001,0.03500000000000002,0.6900000000000001,0.68072174,0.7744
deepconvnet,sub-034,ses-02,0.892,0.010954451150103291,0.892,0.8908771200000001,0.9526
deepconvnet,sub-034,ses-03,0.9029999999999999,0.012041594578792263,0.9029999999999999,0.9022287600000001,0.9625999999999999
deepconvnet,sub-035,ses-01,0.976,0.010839741694339421,0.976,0.97592478,0.9986
deepconvnet,sub-035,ses-02,0.976,0.005477225575051651,0.976,0.9759146000000001,0.9962
deepconvnet,sub-035,ses-03,0.908,0.028195744359743397,0.908,0.9066915999999999,0.9551999999999999
deepconvnet,sub-036,ses-01,0.8550000000000001,0.012747548783981976,0.8550000000000001,0.8536908000000001,0.9132
deepconvnet,sub-036,ses-02,0.942,0.014832396974191347,0.942,0.9415728800000001,0.9869999999999999
deepconvnet,sub-036,ses-03,0.969,0.005477225575051621,0.969,0.9689273,0.9888
deepconvnet,sub-037,ses-01,0.9029999999999999,0.01483239697419124,0.9029999999999999,0.90080188,0.9625999999999999
deepconvnet,sub-037,ses-02,0.891,0.02162174831043967,0.891,0.8892810600000001,0.9596
deepconvnet,sub-037,ses-03,0.892,0.016431676725154963,0.892,0.8907189200000001,0.9460000000000001
deepconvnet,sub-038,ses-01,0.516,0.0311046620299916,0.516,0.48711898,0.5168
deepconvnet,sub-038,ses-02,0.703,0.007582875444051522,0.703,0.6941241,0.7922
deepconvnet,sub-038,ses-03,0.884,0.019170289512680867,0.884,0.8821521600000001,0.9606
