Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models deepconvnet --seeds 0 --protocols single,multi --tag-suffix session_zscore_deepconvnet_s0
Node   : gpu01 | Start: Tue Jun  9 02:53:54 CST 2026
Tue Jun  9 02:53:54 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 35%   44C    P0             57W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 03:02:06 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-010_ses02-to-ses01 seed=0 acc=0.7400 (ntr=160 nval=40 nte=200)
2026-06-09 03:02:15 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-010_ses02-to-ses03 seed=0 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 03:02:21 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-010_ses03-to-ses01 seed=0 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 03:02:27 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-010_ses03-to-ses02 seed=0 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 03:02:32 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-011_ses01-to-ses02 seed=0 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 03:02:37 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-011_ses01-to-ses03 seed=0 acc=0.9100 (ntr=160 nval=40 nte=200)
2026-06-09 03:02:48 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-011_ses02-to-ses01 seed=0 acc=0.7400 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:00 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-011_ses02-to-ses03 seed=0 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:12 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-011_ses03-to-ses01 seed=0 acc=0.8600 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:25 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-011_ses03-to-ses02 seed=0 acc=0.6850 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:30 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-012_ses01-to-ses02 seed=0 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:35 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-012_ses01-to-ses03 seed=0 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:41 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-012_ses02-to-ses01 seed=0 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:47 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-012_ses02-to-ses03 seed=0 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:52 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-012_ses03-to-ses01 seed=0 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 03:03:57 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-012_ses03-to-ses02 seed=0 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 03:04:02 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-013_ses01-to-ses02 seed=0 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 03:04:07 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-013_ses01-to-ses03 seed=0 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 03:04:16 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-013_ses02-to-ses01 seed=0 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 03:04:24 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-013_ses02-to-ses03 seed=0 acc=0.6900 (ntr=160 nval=40 nte=200)
2026-06-09 03:04:30 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-013_ses03-to-ses01 seed=0 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 03:04:35 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-013_ses03-to-ses02 seed=0 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 03:04:40 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-014_ses01-to-ses02 seed=0 acc=0.4700 (ntr=160 nval=40 nte=200)
